City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Constitucion,CL,2021-03-01 23:02:15,-35.3333,-72.4167,64.44,76,3,3.09
1,Homer,US,2021-03-01 23:02:16,59.6425,-151.5483,27.0,80,90,4.79
2,Atuona,PF,2021-03-01 23:02:16,-9.8,-139.0333,79.95,73,12,13.51
3,Busselton,AU,2021-03-01 23:02:16,-33.65,115.3333,66.0,87,92,1.99
4,Muromtsevo,RU,2021-03-01 23:02:17,56.3724,75.2418,-1.7,98,86,0.94
5,Tuktoyaktuk,CA,2021-03-01 23:02:17,69.4541,-133.0374,-27.4,68,75,12.66
6,Hermanus,ZA,2021-03-01 23:02:17,-34.4187,19.2345,68.0,78,36,7.31
7,Vao,NC,2021-03-01 23:02:18,-22.6667,167.4833,77.43,75,20,11.68
8,Bluff,NZ,2021-03-01 23:02:18,-46.6,168.3333,71.01,80,66,1.99
9,Dharchula,IN,2021-03-01 23:02:18,29.85,80.5333,49.26,35,0,7.81
10,Kholodnyy,RU,2021-03-01 23:02:19,62.7167,147.95,-19.86,82,96,2.82
11,Bengkulu,ID,2021-03-01 23:02:19,-3.8004,102.2655,76.39,83,99,4.29
12,Mar Del Plata,AR,2021-03-01 23:02:19,-38.0023,-57.5575,73.4,83,20,11.5
13,Saint-Philippe,RE,2021-03-01 23:02:20,-21.3585,55.7679,75.0,64,0,2.3
14,Hualmay,PE,2021-03-01 23:01:50,-11.0964,-77.6139,76.17,63,23,6.76
15,Necochea,AR,2021-03-01 23:02:20,-38.5473,-58.7368,75.99,76,66,1.01
16,Ushuaia,AR,2021-03-01 22:59:14,-54.8,-68.3,51.8,40,20,10.36
17,Castro,BR,2021-03-01 22:57:38,-24.7911,-50.0119,63.28,95,98,5.12
18,Thompson,CA,2021-03-01 23:00:30,55.7435,-97.8558,1.4,71,90,6.91
19,Qaqortoq,GL,2021-03-01 23:02:22,60.7167,-46.0333,21.2,63,0,2.3
20,Rikitea,PF,2021-03-01 23:02:22,-23.1203,-134.9692,78.53,62,24,5.97
21,Camacha,PT,2021-03-01 23:02:22,33.0833,-16.3333,55.4,71,20,4.61
22,Pevek,RU,2021-03-01 23:02:22,69.7008,170.3133,-25.28,96,9,2.28
23,Ligayan,PH,2021-03-01 23:02:23,4.6533,119.4706,82.35,81,0,13.73
24,Tomari,RU,2021-03-01 23:02:23,47.7658,142.0683,13.93,84,100,6.82
25,Fairbanks,US,2021-03-01 22:59:59,64.8378,-147.7164,6.01,85,90,2.84
26,Kruisfontein,ZA,2021-03-01 23:02:24,-34.0033,24.7314,69.01,94,100,1.99
27,Minas,UY,2021-03-01 23:02:24,-34.3759,-55.2377,73.4,83,40,17.27
28,Jamestown,US,2021-03-01 23:00:09,42.097,-79.2353,25.0,89,90,20.13
29,Vanimo,PG,2021-03-01 23:02:25,-2.6741,141.3028,79.41,82,99,3.24
30,Ust-Tsilma,RU,2021-03-01 23:02:25,65.441,52.1498,26.58,98,85,4.12
31,Sakakah,SA,2021-03-01 23:02:25,29.9697,40.2064,53.6,43,0,6.91
32,Chokurdakh,RU,2021-03-01 23:02:25,70.6333,147.9167,-28.21,95,0,5.75
33,Hambantota,LK,2021-03-01 23:02:26,6.1241,81.1185,73.24,77,0,10.67
34,Punta Arenas,CL,2021-03-01 23:02:26,-53.15,-70.9167,55.4,38,0,17.27
35,Iqaluit,CA,2021-03-01 23:02:26,63.7506,-68.5145,3.2,72,90,16.11
36,Lorengau,PG,2021-03-01 23:01:16,-2.0226,147.2712,82.08,80,95,13.4
37,Victoria,HK,2021-03-01 23:02:27,22.2855,114.1577,66.99,80,64,5.99
38,Uniontown,US,2021-03-01 23:02:27,39.9001,-79.7164,41.0,37,99,5.01
39,Hobart,AU,2021-03-01 23:02:28,-42.8794,147.3294,55.99,54,75,8.05
40,Ambovombe,MG,2021-03-01 23:02:28,-25.1667,46.0833,72.73,83,95,17.96
41,Flinders,AU,2021-03-01 23:02:28,-34.5833,150.8552,63.0,86,88,1.01
42,Arraial Do Cabo,BR,2021-03-01 23:00:07,-22.9661,-42.0278,77.0,83,40,10.36
43,Lebu,CL,2021-03-01 23:02:28,-37.6167,-73.65,62.76,83,10,22.21
44,Half Moon Bay,US,2021-03-01 23:02:29,37.4636,-122.4286,69.8,18,1,19.57
45,Bredasdorp,ZA,2021-03-01 23:02:29,-34.5322,20.0403,66.2,88,63,4.61
46,Bambous Virieux,MU,2021-03-01 23:02:29,-20.3428,57.7575,78.8,78,40,8.05
47,Tura,IN,2021-03-01 23:02:30,25.5198,90.2201,65.26,27,0,3.36
48,Vardo,NO,2021-03-01 23:02:30,70.3705,31.1107,24.8,74,40,18.41
49,Dikson,RU,2021-03-01 23:02:30,73.5069,80.5464,-19.43,86,20,14.5
50,Aksum,ET,2021-03-01 23:02:31,14.1245,38.7244,53.65,85,0,1.54
51,Aklavik,CA,2021-03-01 23:02:31,68.2191,-135.0107,-22.0,69,86,6.91
52,Provideniya,RU,2021-03-01 23:02:31,64.3833,-173.3,-4.0,77,75,24.61
53,Georgetown,MY,2021-03-01 23:00:49,5.4112,100.3354,80.01,88,40,4.65
54,Forio,IT,2021-03-01 23:02:32,40.7342,13.8646,51.8,71,0,5.75
55,Emba,KZ,2021-03-01 23:02:32,48.8264,58.1442,-1.48,93,97,7.23
56,Kuopio,FI,2021-03-01 23:00:04,62.8924,27.677,35.6,64,0,14.97
57,New Norfolk,AU,2021-03-01 23:02:32,-42.7826,147.0587,55.99,63,62,1.99
58,Nanortalik,GL,2021-03-01 23:02:33,60.1432,-45.2371,24.44,84,4,4.09
59,Holbeach,GB,2021-03-01 23:02:33,52.804,0.0144,37.99,89,0,4.0
60,Vaini,TO,2021-03-01 23:02:34,-21.2,-175.2,82.4,74,75,19.57
61,Gurupi,BR,2021-03-01 23:01:31,-11.7292,-49.0686,74.48,89,85,0.78
62,Beinamar,TD,2021-03-01 23:02:34,8.6698,15.3813,79.23,18,1,2.33
63,Fortuna,US,2021-03-01 22:59:33,40.5982,-124.1573,60.01,59,16,3.0
64,Pingliang,CN,2021-03-01 23:02:35,35.5392,106.6861,31.89,82,60,2.35
65,Cape Town,ZA,2021-03-01 23:02:35,-33.9258,18.4232,68.0,88,90,19.57
66,Port Hardy,CA,2021-03-01 23:02:35,50.6996,-127.4199,44.6,87,75,3.44
67,Torbay,CA,2021-03-01 23:02:35,47.6666,-52.7314,28.99,100,40,3.44
68,Albany,US,2021-03-01 23:02:36,42.6001,-73.9662,33.01,51,46,1.99
69,Birjand,IR,2021-03-01 23:02:36,32.8663,59.2211,51.8,46,90,6.91
70,Trebur,DE,2021-03-01 23:02:37,49.9311,8.4161,48.2,57,1,10.36
71,Comodoro Rivadavia,AR,2021-03-01 23:02:37,-45.8667,-67.5,60.8,67,75,3.44
72,Port-Gentil,GA,2021-03-01 23:02:37,-0.7193,8.7815,77.0,94,20,9.89
