City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kushima,JP,31.4583,131.2333,62.6,88,90,5.75,mist
80,Kenai,US,60.5544,-151.2583,15.01,71,1,4.61,clear sky
81,Dawlatabad,AF,36.4141,64.9053,50.77,59,96,7.54,overcast clouds
82,Sao Filipe,CV,14.8961,-24.4956,71.67,73,100,13.78,overcast clouds
83,Bambanglipuro,ID,-7.95,110.2833,76.57,90,95,3.06,overcast clouds
84,San Jeronimo,PE,-11.9472,-75.2829,61.92,48,98,4.25,overcast clouds
85,Port Hedland,AU,-20.3167,118.5667,77.0,65,0,12.66,clear sky
86,Wawa,NG,9.9022,4.4192,86.68,16,33,2.44,scattered clouds
87,Touros,BR,-5.1989,-35.4608,84.2,70,40,14.97,light rain
88,Antsohihy,MG,-14.8796,47.9875,75.06,91,85,3.31,overcast clouds
89,Narsaq,GL,60.9167,-46.05,50.0,32,75,39.12,broken clouds
90,Leshukonskoye,RU,64.8989,45.7622,-0.33,93,99,4.03,overcast clouds
91,Whitecourt,CA,54.1502,-115.6855,33.8,69,75,8.05,broken clouds
92,Castro,BR,-24.7911,-50.0119,64.24,95,100,8.32,light rain
93,Poniatowa,PL,51.1798,22.1309,37.4,81,90,9.22,overcast clouds
94,Hofn,IS,64.2539,-15.2082,40.28,69,0,5.37,clear sky
95,Khatanga,RU,71.9667,102.5,-28.32,78,0,11.23,clear sky
96,Yei,SS,4.095,30.6779,82.17,27,84,4.29,broken clouds
97,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,90,5.75,light rain
98,Saint George,US,37.1041,-113.5841,57.99,44,40,3.44,scattered clouds
99,Sulina,RO,45.1559,29.6536,45.86,81,35,13.8,scattered clouds
100,Mayo,US,38.8876,-76.5119,53.01,40,40,14.97,scattered clouds
101,Olafsvik,IS,64.8945,-23.7142,41.36,86,99,11.45,overcast clouds
102,Eyl,SO,7.9803,49.8164,75.02,83,100,13.87,overcast clouds
103,Nikolskoye,RU,59.7035,30.7861,27.0,54,90,11.18,light snow
104,Manzanillo,CU,20.3433,-77.1167,83.43,56,22,13.13,few clouds
105,Lakatoro,VU,-16.0999,167.4164,76.03,89,100,12.91,moderate rain
106,Cockburn Town,TC,21.4612,-71.1419,78.55,75,0,13.53,clear sky
107,Pontianak,ID,-0.0333,109.3333,74.77,94,84,2.93,broken clouds
108,Baykit,RU,61.67,96.37,-2.4,99,100,3.36,light snow
109,Vostok,RU,46.4856,135.8833,24.13,98,80,6.51,broken clouds
110,Thunder Bay,CA,48.4001,-89.3168,26.6,54,40,3.44,scattered clouds
111,Dabat,ET,12.9842,37.765,57.6,52,39,5.84,scattered clouds
112,Amot,NO,59.5714,7.9877,30.2,59,0,5.75,clear sky
113,Tautira,PF,-17.7333,-149.15,86.0,66,75,4.61,broken clouds
114,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,81,75,6.91,broken clouds
115,Bullhead City,US,35.1478,-114.5683,66.99,36,1,6.91,clear sky
116,Murgab,TM,37.4966,61.9714,46.4,57,75,4.61,broken clouds
117,Plastun,RU,44.7561,136.2939,27.99,93,0,3.91,clear sky
118,Rocha,UY,-34.4833,-54.3333,75.36,81,100,9.35,overcast clouds
119,Whitehorse,CA,60.7161,-135.0538,21.99,86,75,3.44,broken clouds
120,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,86,90,24.16,light snow
121,Jashpurnagar,IN,22.9,84.15,63.3,16,0,3.53,clear sky
122,Cayenne,GF,4.9333,-52.3333,86.0,66,75,11.5,broken clouds
123,Ribeira Grande,PT,38.5167,-28.7,60.8,67,20,6.91,few clouds
124,Natitingou,BJ,10.3042,1.3796,96.8,13,10,3.44,clear sky
125,Hobart,AU,-42.8794,147.3294,52.0,58,40,17.27,scattered clouds
126,Makakilo City,US,21.3469,-158.0858,73.4,64,1,6.91,clear sky
127,Iberia,US,29.9502,-91.7507,69.01,32,1,4.61,clear sky
128,Tres Arroyos,AR,-38.3739,-60.2798,78.53,53,0,14.83,clear sky
129,Aksu,CN,41.1231,80.2644,42.75,44,99,5.79,overcast clouds
130,Taranagar,IN,28.6709,75.0351,72.23,22,0,1.07,clear sky
131,Turayf,SA,31.6725,38.6637,44.6,93,40,13.8,scattered clouds
132,Silver City,US,32.7701,-108.2803,55.4,26,1,21.85,clear sky
133,Bathsheba,BB,13.2167,-59.5167,82.4,61,40,18.41,scattered clouds
134,Luanda,AO,-8.8368,13.2343,82.4,74,20,9.22,few clouds
135,Kristiansund,NO,63.1115,7.732,30.2,93,75,9.22,broken clouds
136,Gobabis,NA,-22.45,18.9667,71.17,40,0,9.4,clear sky
137,Faya,SA,18.3851,42.4509,60.8,88,0,5.75,clear sky
